       9      12  1.23501e+14   7.9220827e+11
      12      18  1.37859e+14   9.7729574e+11
      18      26  1.53960e+14   1.3394678e+12
      26      41  1.69829e+14   2.2684692e+12
      41      71  1.89357e+14   3.9267246e+12
      71     120  2.16640e+14   1.0344811e+13
